[00:07 - 00:15]  Крахмал, гликоген, целлюлоза.
[40:10 - 40:12]  Есть ДНК, есть РНК
[40:12 - 40:16]  Это молекулы разные
[40:16 - 40:19]  Построили
[40:19 - 40:29]  Я 100% говорю. И по строению, и по функционалу.
[40:29 - 40:32]  Значит так, первое, что мы будем с вами разбирать.
[40:32 - 40:34]  Мы должны отличия разобрать, да?
[40:34 - 40:39]  Поэтому мы делим с вами низ на два столбца.
[40:40 - 40:42]  Первый столбец ДНК, второй столбец РНК.
[40:43 - 40:45]  Первое, с чего мы должны начать.
[40:45 - 40:48]  Скажите-ка мне, пожалуйста, а как расшифровывается ДНК?
[40:53 - 41:05]  Пятиатронный углевод в серединке у ДНК какой?
[41:17 - 41:20]  Какой пятиатронный углевод у ДНК?
[41:20 - 41:22]  Пятиатронный.
[41:22 - 41:24]  Пятиатронный.
[41:26 - 41:28]  Моносахариды.
[41:29 - 41:31]  Кобочка, что мы написали?
[41:31 - 41:32]  Фруктоза.
[41:32 - 41:34]  Представляешь, фруктозы там нет.
[41:35 - 41:36]  А что там есть?
[41:37 - 41:38]  Сахариды.
[41:41 - 41:42]  Моносахариды.
[41:43 - 41:44]  Моносахарид какой?
[41:48 - 41:49]  ДНК.
[41:49 - 41:50]  Дезокс.
[41:52 - 41:56]  Соответственно, ДНК это дезоксирибонуклиновая кислота.
[41:59 - 42:01]  Дезоксирибонуклиновая кислота.
[42:03 - 42:05]  Пишем тогда, вас не помнят.
[42:05 - 42:06]  Я это запомню.
[42:06 - 42:07]  Ну, конечно.
[42:07 - 42:08]  Пиши давай.
[42:11 - 42:14]  Дезокси, риба, нуклеиновая кислота.
[42:17 - 42:17]  Дезокси.
[42:18 - 42:20]  Дезокси, риба, нуклеиновая кислота.
[42:21 - 42:22]  Одним словом.
[42:23 - 42:25]  Дезокси, риба, нуклеиновая, одним словом.
[42:27 - 42:33]  То есть, по названию мы понимаем, что там дезокси, рибоза.
[42:34 - 42:42]  РНК это, соответственно, очевидно, нет обреза.
[42:44 - 42:49]  Рибонуклииновая, естественно, но логика-то есть, оказывается.
[42:55 - 42:56]  А как кислота?
[42:57 - 42:58]  Нууклииновая.
[42:58 - 43:01]  Рибонуклииновая кислота.
[43:02 - 43:03]  ДНК просто не похудел.
[43:04 - 43:07]  Нет, не первая буква.
[43:08 - 43:09]  Там уходит Дезоксель.
[43:10 - 43:11]  Дезоксель, это без кислотного.
[43:11 - 43:12]  Нет, я имею в виду Д.
[43:13 - 43:14]  ДР, вот, буквы, меняешь, иди.
[43:14 - 43:15]  Что, тут слово?
[43:15 - 43:16]  Хорошо.
[43:17 - 43:27]  Итак, ничи у нас в нуклеотидах сначала будет, поэтому вы пишете в серединочке, так, чтобы относился к ДНК и к РНК.
[43:28 - 43:30]  То есть первое, что мы с вами рассматриваем, строение нуклеотида.
[43:31 - 43:35]  Пишите строение нуклеотида, что вы потом найти не можете.
[43:38 - 43:41]  Строение нуклеотида.
[43:43 - 43:43]  Нуклеотида.
[43:44 - 43:46]  Фосфатные группы мы брать не будем, они одинаковые.
[43:46 - 43:49]  То есть мы поэтому упоминать не будем, хорошо?
[43:50 - 43:54]  А ничи будет в пятиатомном углеводе и в азотистых основаниях.
[43:54 - 43:57]  Сначала будем рассматривать пятиатомный углевод.
[43:57 - 44:01]  Пишите, соответственно, там, где сейчас у вас ДНК написано.
[44:02 - 44:03]  Пентоза и двоепочия.
[44:06 - 44:06]  Пентоза.
[44:09 - 44:10]  Пентоза.
[44:10 - 44:11]  Пять.
[44:12 - 44:13]  Пентограмма.
[44:13 - 44:14]  А, пентограмма.
[44:17 - 44:19]  Скажи потом.
[44:21 - 44:24]  У меня уже переизвуток информации.
[44:24 - 44:26]  Так, пентоза, да?
[44:26 - 44:27]  Я же не могу понять.
[44:27 - 44:30]  ДНК, соответственно, у вас какая пентоза?
[44:31 - 44:33]  НК сначала
[44:33 - 44:40]  Какой металлим углевод?
[44:41 - 44:42]  Кентоза
[44:42 - 44:45]  Дезоксирибоза
[44:45 - 44:47]  Напишите еще раз
[44:47 - 44:50]  Конечно, вы же не помните
[44:50 - 44:54]  Дезоксирибоза
[44:54 - 44:57]  Я сразу пойму, по какому мне предмету будут тройки
[44:57 - 45:00]  Все, мне тройки будут подъем
[45:00 - 45:02]  Выкид тоже
[45:02 - 45:08]  Дезоксирибоза
[45:08 - 45:09]  Идем далее
[45:09 - 45:11]  Азотистые основания
[45:11 - 45:17]  Азотистые основания
[45:17 - 45:21]  Я ответить могу
[45:21 - 45:34]  Азотистые основания
[45:34 - 45:40]  ДНК
[45:40 - 45:42]  Соответственно пишите
[45:42 - 45:43]  Азотистые основания
[45:43 - 45:46]  4 азотистых оснований
[45:46 - 45:47]  Аденин
[45:47 - 45:49]  Семен
[45:49 - 45:50]  Буковка Т большая
[45:50 - 45:51]  Гуанин
[45:51 - 45:53]  Буковка Г большая
[45:53 - 45:53]  Цитозин
[45:53 - 45:55]  Буковка С большая
[45:55 - 45:57]  Аденин
[45:57 - 45:59]  Семен
[45:59 - 46:00]  Гуанин
[46:00 - 46:01]  Цитозан
[46:01 - 46:02]  Азин
[46:02 - 46:05]  Гуси
[46:05 - 46:06]  Гуси
[46:06 - 46:23]  Аденин, Симин, Гуанин, Цитозин.
[46:23 - 47:08]  Здравствуйте.
[47:08 - 47:20]  Кому звоните?
[47:20 - 47:26]  Он перезвонит в перемену.
[47:26 - 47:42]  Идем далее.
[47:42 - 47:50]  Вы, соответственно, параллельно запишите азотистые основания.
[47:50 - 48:05]  есть ВРНК, есть АДНИ, поэтому мы пишем просто буковку А. ВРНК нет, вместо тимина будет УРАЦИЛ,
[48:05 - 48:18]  поэтому напротив тимина ВРНК вы должны писать УРАЦИЛ и скобочков буковку У. Соответственно,
[48:18 - 48:28]  ГУАНИН есть, ЦИТАЗИН есть. ГУАНИН, ЦИТАЗИН. Можем спокойно писать сокращенно. УРАЦИЛ.
[48:28 - 48:51]  По структуре нет тимина, там химически другая структура, но при этом очень важно понимать, что у урацила и тимина, вот эта внешняя часть, она сходная, иначе бы соединение не происходило.
[48:51 - 48:52]  Сейчас мы с вами дальше обсудим.
[48:53 - 49:01]  По структуре молекулы, то есть вы смотрите, это только азотистая, это только муклеотин.
[49:01 - 49:30]  Теперь по строению структуры самой молекулы. ДНК вот она, спираль. Эту структуру спираль открыли только в 1953 году Уотсон и Квик. Уотсон очень интересная, это личность, американец, который потом писал книгу, как он открыл эту структуру вместе со своим коллегой.
[49:30 - 49:36]  И этот человек, первый человек, у которого расшифровали геномы.
[49:37 - 49:40]  Получается Уотсона и Квикан.
[49:41 - 49:43]  Структуру ДНК рассматривали.
[49:44 - 49:54]  Сделали фотографии, как это называется, рентгенографию.
[49:56 - 49:58]  И, соответственно, видели, что есть хромосомы уже,
[49:59 - 50:05]  но не совсем понимали, как происходит вот эта вот форма у ДНК.
[50:05 - 50:12]  То это именно спираль, и при том спираль, образованная двумя разнонаправленными цепями.
[50:12 - 50:17]  То это две цепи оправданы, потому что меньше ошибок.
[50:19 - 50:20]  У вас всегда есть дублеж.
[50:20 - 50:24]  При том дублеж нет и мой, а комплементарный.
[50:26 - 50:36]  Так, то есть смотрите, у вас ДНК, пекула, то есть спираль,
[50:37 - 50:40]  образованная двумя разнонаправленными цепями,
[50:40 - 50:45]  которые соединены между собой азотистыми основаниями.
[50:46 - 50:58]  Посмотрите, у вас одна цепь, например, 3-штрих-5-штрих, вверх идет, а вторая цепь 5-штрих-3-штрих, вниз идет, вот так.
[50:59 - 51:06]  В наруху, вот сюда, да, торчат фосфатные группы, а вовнутрь торчат азотистые основания.
[51:06 - 51:15]  И азотистые основания двух вот этих соседних цепей, они должны быть определенными.
[51:16 - 51:20]  Напротив аденина темин, напротив гуанина цитозин.
[51:20 - 51:47]  Это принцип комплементарности. Дело в том, что аденин с тимином образует двойную водородную связь, гуанин с цитозином тройную водородную связь. И никак по другому. Это вот как раз по принципу закон, который лежит в основе синтеза белковой молекулы, в основе вообще передачи и реализации наследственной информации.
[51:47 - 52:30]  Итак, пишем структуру молекулы в серединочке и дальше про ДНК пишем. В серединочке пишем структуру молекулы. Далее, ДНК. Что это за молекула? ДНК это спираль двумя разнонаправленными полинуклеотидными цепями.
[52:30 - 53:31]  ДНК это спираль, образованная двумя разнонаправленными полинуклеотидными цепями, соединенными между собой водородными связями по принципу комплементарности.
[53:31 - 53:39]  Вот так, комплимент написано по принципу комплиментарности.
[53:46 - 53:47]  По принципу комплиментарности.
[53:48 - 53:54]  И дальше вы записываете то, что вот здесь вот указано в рамочке.
[53:54 - 54:00]  Аденин, две водородные связи, тимин, гуанин, три водородные связи, цитазин.
[54:00 - 54:02]  Вот здесь вот это.
[54:03 - 54:06]  Это принцип комплиментарности для ДНК.
[54:07 - 54:08]  Позвольте.
[54:10 - 54:16]  Видите, обращаю ваше внимание, это не равно.
[54:17 - 54:19]  Это не равно.
[54:19 - 54:21]  Это связи.
[54:22 - 54:25]  Потом мне кажется, говорят, равно, не равно.
[54:27 - 54:30]  Это количество водородных связей.
[55:12 - 55:13]  Это у нас ДНК.
[55:17 - 55:21]  Это от нас.
[55:23 - 55:26]  Но она бывает разных форм.
[55:27 - 55:29]  Она бывает разных видов.
[55:30 - 55:31]  Она разная функциональность.
[55:32 - 55:39]  В ДНК пишется одна цепочечная молекула.
[55:40 - 55:42]  Цепочечная молекула.
[55:49 - 55:55]  Дальше пишется виды и двоеточие.
[55:55 - 56:02]  Смотрите, мы с вами будем говорить только о трех ДНК.
[56:02 - 56:04]  На самом деле, больше.
[56:05 - 56:09]  Нам нужны только эти три вида для того, чтобы биосинтез разбирать.
[56:10 - 56:14]  По функционалу мы с вами чуть попозже обговорим, да?
[56:14 - 56:16]  Или давайте сейчас вам скажу.
[56:16 - 56:18]  ДНК нужна для того, чтобы информацию хранить.
[56:19 - 56:19]  Так?
[56:20 - 56:24]  Чтобы она была максимально неизменна и не накапливала ошибки.
[56:25 - 56:25]  Так?
[56:28 - 56:33]  РНК, независимо от того, какой вид, какой настроение, для чего нужна.
[56:34 - 56:36]  Для того, чтобы эту информацию реализовать.
[56:36 - 56:43]  То есть, смотрите, для того, чтобы понять, какой цвет ваших глаз.
[56:44 - 56:45]  Мы по генам как узнаем?
[56:45 - 56:50]  Мы понимаем, что вот этот ген отвечает за формирование
[56:50 - 56:54]  и за синтез молекул, да, белков, кершин,
[56:54 - 56:58]  которые отвечают за вот этот конкретный цвет.
[56:58 - 57:11]  То есть это, опять-таки, синтез, это химические реакции.
[57:11 - 57:14]  Есть РНК, который отвечает за иммунный ответ,
[57:16 - 57:20]  микро-РНК различные, да, то есть они разные.
[57:20 - 57:23]  Мы берем только те, которые в биосинтезе белка участвуют.
[57:23 - 57:25]  Итак, вида первая.
[57:26 - 57:29]  Пишите информационное РНК и РНК.
[57:29 - 57:31]  РНК.
[57:32 - 57:37]  Информационное РНК.
[57:38 - 57:40]  Себя представляет и РНК.
[57:41 - 57:42]  Это вот примерно вот такая вот молекула.
[57:42 - 57:48]  У вас идут пятиатомные углеводы, фасадная группа в одну структура торчат,
[57:48 - 57:50]  а основание в другую структура торчат.
[57:51 - 57:55]  И всю молекулу и РНК можно поделить на три плеты.
[57:56 - 57:58]  То есть по три азотистых основания.
[57:58 - 57:59]  Вот этот три плет – это кодон.
[58:00 - 58:02]  Практично себе.
[58:03 - 58:03]  Вот эту часть.
[58:04 - 58:09]  Вы потом понимали, в ДНК донах, где антикоголь.
[58:10 - 58:13]  А я пока вам объясню, что происходит.
[58:13 - 58:17]  Смотрите, ДНК, с пределой ядра, не выходит никогда.
[58:18 - 58:21]  Для того, чтобы избежать ошибок мутации.
[58:23 - 58:25]  Но информация вся на ДНК записана.
[58:26 - 58:31]  А синтез, например, идет, у нас синтез белка идет на ревосоме.
[58:31 - 58:34]  Это шаховатое ЭПС, это другая локация в пленке.
[58:35 - 58:39]  Нужно из ядра информацию перенести как месту синтеза.
[58:39 - 58:50]  Кроме того, у вас ДНК 2 метра, ДНК, если что, в каждой клетке, 2 метра вам не нужны для того, чтобы белок построить.
[58:50 - 58:56]  Вам кусочек нужен, вам не нужна вся молекова ДНК.
[58:57 - 59:11]  То есть суть какая? Внутри ядра ДНК раскручивается, притом только в том месте, которое необходимо, в том участке, который отвечает за синтез конкретного белка.
[59:11 - 59:19]  Из гуклеотидов собирается ИРНК, как по принципу комплементарности.
[59:19 - 59:22]  Аденина будет соответствовать плацилл, гуанин, цитадин и так далее.
[59:24 - 59:28]  Молекула собралась, она выходит за пределы ядра и идет дальше к рибосоме.
[59:29 - 59:31]  То есть ИРНК за что отвечает?
[59:36 - 59:55]  Переносит информацию о структуре белка из ядра к рибосоме.
[59:55 - 59:57]  Поэтому она и РНК
[59:57 - 60:00]  Да, здесь я должна нюансик сказать
[60:00 - 60:02]  Иногда говорят МРНК
[60:02 - 60:03]  Матричная
[60:03 - 60:04]  Это одно и то же будет
[60:04 - 60:06]  Это суть какая?
[60:06 - 60:08]  Из ядра
[60:08 - 60:11]  Место синтеза белка
[60:11 - 60:30]  Матричная РНК
[60:30 - 60:31]  Это калька
[60:31 - 60:32]  С английского варианта
[60:32 - 60:40]  Не перевод произношения
[60:40 - 60:42]  На русском
[60:42 - 60:45]  В английском это матричная РНК
[60:45 - 60:49]  У нас, если по функционалу идти
[60:49 - 60:51]  Это и РНК информационная.
[60:52 - 60:54]  РНК, который передает информацию.
[60:55 - 60:56]  Идем дальше.
[60:57 - 61:00]  Вот смотрите, у нас синтез белка происходит на рибосоме.
[61:01 - 61:08]  Для того, чтобы синтез осуществился, нам нужно к рибосоме что принести?
[61:09 - 61:11]  Блок состоит из аминокислот.
[61:12 - 61:13]  Нам аминокислоты нужны.
[61:14 - 61:16]  Вот этим занимается у нас транспортная РНК.
[61:17 - 61:18]  Цифрку 2 пишем.
[61:18 - 61:20]  Транспортная РНК дает РНК.
[61:21 - 61:24]  Да, и схематично нам нужно нарисовать вот этот трех.
[61:24 - 61:33]  Трех лестников и сходят везде по-разному.
[61:34 - 61:37]  В спольном учебнике у вас вообще здесь кружочек.
[61:38 - 61:40]  Это вообще.
[61:40 - 61:41]  Ну не суть.
[61:41 - 61:43]  Смысл-то какой на самом деле?
[61:43 - 61:44]  Это какая молекула?
[61:44 - 61:46]  То есть вот тут обычно просто цепь.
[61:46 - 61:46]  Правильно?
[61:46 - 61:47]  Она никак не свернута.
[61:48 - 61:49]  А вот здесь цепь свернута.
[61:49 - 61:51]  Свернута она очень интересна.
[61:51 - 61:54]  По факту группы получается торчат вовнутрь.
[61:54 - 61:56]  Азотистые основания торчат наружу.
[61:56 - 61:58]  И получаются вот такие листочки.
[61:58 - 62:03]  И вот здесь вот на среднем листочке есть три клетки.
[62:04 - 62:07]  Три азотистых основания, которые называются антикадон.
[62:08 - 62:14]  А вот тут вот на нижнем конце есть триплет, к которому присоединяется аминокислота.
[62:15 - 62:20]  И вот эта аминокислота специфична антиклатону.
[62:25 - 62:27]  Аминокислота, курочек, красники.
[62:29 - 62:41]  Смотрите, ТРНК может многократно эту аминокислоту.
[62:41 - 62:52]  То есть она к грибосоме принесла, синтез осуществился, ТРНК идет обратно за снидущей аминокислотой.
[63:01 - 63:06]  Но, в сути, это белок.
[63:08 - 63:19]  Для того, чтобы белковую структуру могли синтезировать, нужно, чтобы у рибосома формировался так называемый активный центр.
[63:19 - 63:23]  И вот этот активный центр формируется особым способом.
[63:26 - 63:30]  Участвует рибосомная РНК. Это третий вид.
[63:30 - 63:36]  Циферка 3. Рибосомная РНК или РРНК.
[63:37 - 63:49]  Рибосомная РНК, РРНК, РРНК.
[63:58 - 64:14]  Формирует активный центр гибосомы.
[64:16 - 64:20]  Сейчас немножко передохну, я вам объясню еще один момент.
[64:21 - 64:22]  Активный центр гибосомы.
[64:22 - 64:32]  Смотрите, вот по сути, исходя из того, какие мы молекулы расписали,
[64:32 - 64:37]  можно понять, как происходит синтез молекулы ДНК.
[64:38 - 64:42]  Мы назвали, и так запишем, когда будем разбирать конкретно, да?
[64:42 - 64:45]  А сейчас просто, что происходит.
[64:45 - 64:48]  ДНК раскручивается.
[64:49 - 64:53]  У вас торчат разочистые основания одной из цепей.
[64:54 - 64:57]  На этих, вернее, попутся в комплиментарности.
[64:58 - 64:59]  На этой цепи выстроены.
[64:59 - 65:00]  Поставится и РНК.
[65:02 - 65:05]  Дальше и РНК идет через горы.
[65:06 - 65:08]  По шероховазе ЭПС.
[65:09 - 65:12]  Рибосома вышла, соответственно, дошла.
[65:13 - 65:18]  Рибосома должна быть активная, то есть рабочая, включенная.
[65:18 - 65:23]  Дальше и РНК встраивается в рибосому.
[65:24 - 65:35]  Дальше, к ИРНК, по принципу комплементарности, к адрона, к антикадон, присоединяется к ТРНК.
[65:35 - 65:42]  Принцип комплементарности вот такой, аденин, урацил, гуанин, цитозин.
[65:42 - 65:47]  Между аденином и урацилом двойная связь, между гуанином и цитозином тройная связь.
[65:48 - 65:49]  Соединились.
[65:50 - 65:57]  У вас одна ТРНК соединилась к ИРНК, к адрона, к адрона, к адрона.
[65:58 - 66:02]  Вторая, ТРНК, СНИЛС, ИРНК, кодон, антикодон.
[66:03 - 66:05]  На нижнем конце аминокислоты, правильно?
[66:06 - 66:10]  И между аминокислотами образуется кептидная связь.
[66:10 - 66:11]  Вот как синтез происходит.
[66:13 - 66:18]  Здесь все по принципу комплементарности.
[66:19 - 66:22]  То есть, еще раз, у вас буквенный код.
[66:23 - 66:29]  Буквенный код в этом случае предполагает не двоичный, а триплетный.
[66:30 - 66:34]  Каждое слово, каждая аминокислота – это триплет.
[66:34 - 66:38]  Один триплет, следующий триплет
[66:38 - 66:41]  Значит, одна микислота, вторая микислота и так далее
[66:41 - 66:43]  Еще важно
[66:43 - 66:46]  У синтеза
[66:46 - 66:48]  У любого синтеза, у любого процесса
[66:48 - 66:49]  Есть начало, есть конец
[66:49 - 66:53]  То есть, соответственно
[66:53 - 66:57]  У вас есть триплет, который запускает реакцию синтеза
[66:57 - 67:00]  И есть очевидный должен быть
[67:00 - 67:02]  Трет, который останавливает реакцию синтеза
[67:02 - 67:03]  Точка
[67:03 - 67:08]  Таких триплетов, если вы посмотрите потом на табличку генетического кода
[67:08 - 67:09]  На самом деле три
[67:09 - 67:12]  Три варианта точки
[67:12 - 67:16]  Три варианта, когда заканчивается реакция синтеза.
[67:16 - 67:28]  У вас аминокислотная последовательность, фолипептиль, который дальше будет сворачиваться и образовывать структуру белка более высокого уровня.
[67:30 - 67:33]  ТФ остался.
[67:44 - 67:47]  У нас как раз хватит времени на ТФ.
[67:47 - 67:50]  А, нет, здесь функционал давайте сначала.
[67:51 - 67:51]  Функционал.
[67:52 - 67:54]  У ДНК для чего?
[67:55 - 67:56]  Какая функция ДНК?
[67:57 - 67:58]  Кромение наследственной информации.
[67:58 - 68:01]  А у РНК?
[68:01 - 68:02]  Передача.
[68:02 - 68:03]  Не передача.
[68:05 - 68:06]  Реализация.
[68:06 - 68:12]  Пожалуйста, напишите там, где ДНК, функция хранения наследственной информации.
[68:12 - 68:16]  А там, где РНК, реализация наследственной информации.
[68:16 - 68:18]  Еще раз, ДНК за пределы ядра не выходит.
[68:22 - 68:26]  Перенос информации к месту синтеза и сам синтез осуществляется через РНК.
[68:30 - 68:32]  Реализация наследственной информации.
[68:55 - 68:58]  Дальше доголовок.
[68:58 - 69:13]  Следующим кто-нибудь запил Алину. Я на новом роде в этом могу закончить.
[69:13 - 69:19]  Расшифровывайте мне. Расшифруйте мне. Кто такой АТЭФ?
[69:19 - 69:21]  АТЭФ.
[69:21 - 69:24]  АТЭФ.
[69:56 - 69:57]  Подходите.
[69:58 - 70:00]  Я уже называла эту молекулу.
[70:13 - 70:18]  Называется эта молекулу аденозитрифосфорная кислота.
[70:18 - 70:21]  Аденозитрифосфорная кислота.
[70:22 - 70:24]  А, это название.
[70:26 - 70:31]  Аденозитрифосфорная кислота, АТФ.
[70:31 - 70:33]  Из чего в структуре состоит?
[70:34 - 70:38]  Пожалуйста, очень близко к верхнему делу.
[70:38 - 70:39]  Вот здесь мне нужно будет место еще.
[70:40 - 70:42]  Вот это красненькое у нас, кстати, нужно будет.
[70:47 - 70:55]  Блин, по рецептуру надо было капитулы дочек вычитать.
[70:56 - 70:59]  Танцкая почка.
[71:06 - 71:09]  Ой, я сверху, как раз, в чатни же 5-х, кто нам балбол?
[71:09 - 71:13]  Итак, АТФ, аденозин-3-фосфорная кислота.
[71:14 - 71:17]  Она у нас состоит из азотистого основания аденин,
[71:19 - 71:22]  5-ти атомного углевода рибозы, образует аденозин
[71:23 - 71:27]  и 3-х остатков фосфорной кислоты.
[71:27 - 71:42]  и фосфатами, да? Теперь, что здесь? Между фосфорной кислоты есть связи. Вот эти связи макроэргические.
[71:43 - 71:52]  Сама молекула, соответственно, макроэргическая. Что значит макроэргическая? Богатая вот эта энергия, да?
[71:52 - 72:04]  То есть, на самом деле, внутри клетки источник энергии – это АТФ. АТФ. Источник энергии – АТФ.
[72:05 - 72:09]  А что важно, сколько энергии выделяется?
[72:10 - 72:12]  Сейчас я это пишу.
[72:14 - 72:17]  Я вам напишу примерно, да?
[72:19 - 72:26]  Дело в том, что разные источники будет разное количество вам говорить.
[72:26 - 72:35]  Смотрите, каждая связь, не грамм вещества, а каждая связь.
[72:36 - 72:39]  При разрыве даст 40 килоджуль энергии.
[72:40 - 72:41]  То есть понимаем, в чем разница?
[72:42 - 72:48]  У вас жиры, грамм живого даёт 38 килоджуль энергии, а здесь одна связь даст 40.
[72:49 - 72:52]  Понятно, что они неравноценны.
[72:53 - 72:55]  Там разное количество может быть еще раз.
[72:55 - 72:58]  Но может быть и разных источников.
[72:58 - 72:59]  Вот здесь вообще 30 пишут.
[73:00 - 73:02]  30,6 стаджей энергии.
[73:03 - 73:04]  Примерно 40.
[73:04 - 73:05]  По-разному бывает.
[73:06 - 73:11]  То есть, понимаем, почему это универсальный источник энергии.
[73:12 - 73:14]  Потому что вот там такие связи есть.
[73:16 - 73:16]  Макро.
[73:17 - 73:18]  Микро – это мало.
[73:18 - 73:19]  Тебе нужно много.
[73:22 - 73:22]  Макроэргический.
[73:22 - 73:29]  Ну и соответственно вы под эту молекулу напишите универсальный источник энергии клетки.
[73:29 - 73:39]  Под АТР. Универсальный источник энергии клетки.
[73:39 - 73:42]  Универсальный источник энергии клетки.
[73:42 - 73:47]  То есть для чего нам эта молекулу нужна вообще?
[73:47 - 74:02]  Сейчас время у нас осталось, а в следующем я переходить не хочу.
[74:02 - 74:06]  Вы посмотрите ролики из предыдущего.
[74:06 - 74:11]  Типа смешаем, но не совсем так себе.
[74:13 - 74:25]  Про флеточки, про бактерии и про последнего общего клетка.
[74:30 - 74:37]  У дерева и человека рога больше общего, чем кажется.
[74:38 - 74:42]  Все. Состоят из клеток, элементарных частиц жизни.
[74:42 - 74:44]  Как же устроена клетка?
[74:56 - 75:08]  Их функция.
[75:10 - 75:14]  Дервная мышечная способна сокращаться.
[75:14 - 75:16]  А эритроцит. Деревозит кислорода.
[75:16 - 75:21]  В многоклеточном организме у каждой клетки есть специализация.
[75:22 - 75:28]  Клетка из пузырей тушеньки или кишечной палочки – это отдельный самодостаточный организм.
[75:28 - 75:35]  Клетка, кому бы она ни принадлежала, только ключевых компонентов в своем строении.
[75:36 - 75:40]  Клетка называется плазматической мембраной.
[75:40 - 75:45]  Это тонкий слой липидов. Именно он отделяет живое от неживого.
[75:48 - 75:49]  Две клетки с окружающей средой.
[75:50 - 75:58]  Специальные каналы апатитоплазмы.
[76:00 - 76:03]  В основном из воды или соль.
[76:06 - 76:10]  Химический создацитоплазм похож на среду, где зарождалась жизнь.
[76:10 - 76:13]  Проходится и органелл.
[76:13 - 76:18]  Разные функции и жизненно необходимы для существования клетки.
[76:19 - 76:22]  Меньше органелл, митохондрии и хлоропласты.
[76:22 - 76:23]  Когда-то были бактерии.
[76:24 - 76:26]  Попыталась поглотить другая клетка.
[76:27 - 76:29]  С тех пор они вступили в симбиоз.
[76:30 - 76:34]  Обеспечивают фотосинтез.
[76:35 - 76:38]  Наследственная информация хранится в молекулах ДНК.
[76:38 - 76:43]  В размотанном виде длина нити ДНК человека составляла бы почти 2 метра.
[76:44 - 76:47]  Но в клетке они плотно упакованы и помещаются в крошечном гидре.
[76:48 - 76:50]  Бактерии ДНК просто короче.
[76:50 - 76:53]  Она свернута в кольцо и просто плавает в цитопласты.
[76:54 - 76:57]  Своя ДНК есть в митохондриях и хлоропластах.
[76:58 - 77:01]  Цитология стала развиваться в начале 19 века.
[77:02 - 77:07]  Делить, как устроены глиссировали их, с помощью формалина или с картоха.
[77:07 - 77:17]  Этот метод позволил узнать, как устроена клетка, как она житет в хлоресцентных белках.
[77:17 - 77:19]  Они стали использоваться в качестве минки.
[77:20 - 77:27]  Если прикрепить светящийся белок к белку внутри живой клетки, появляется принципиальная возможность отслеживать его перемещение.
[77:29 - 77:35]  На небольшой участок клетки, в котором находится флорисцирующий белок, направляет мощный лазер.
[77:36 - 77:42]  Флорисцентные молекулы выграют в сильном освещении, поэтому в зоне облучения образуется темное пятно.
[77:42 - 77:50]  Если белок подвижны, из зоны облучения выцвившие молекулы будут уходить, а флорисцирующие туда приходят.
[77:50 - 77:54]  Результаты экспериментов произвели эволюцию в представлениях о кредке.
[77:55 - 77:58]  Теперь мы знаем, что это очень подвижная система.
[77:59 - 78:02]  Все структуры в ней постоянно двигаются и изменяются.
[78:03 - 78:06]  Относительно стабильно и устойчиво только ДНК-объедрель.
[78:06 - 78:12]  Сейчас ученым уже удалось смоделировать возникновение муклеимовых кислот и простых белков в лабораторных условиях.
[78:13 - 78:18]  Но как могла появиться мембрана, отделившая первую жизнь от нежизни?
[78:18 - 78:20]  И это остается загадкой.
[78:20 - 78:26]  В каком-то смысле возникновение клетки даже больше вопросов, чем происхождение жизни.
[78:32 - 78:54]  Пиши, разнообразие в жизни, видимо, внешне одинаковые, совсем незамерные организмы занимают большую часть стрема жизни.
[79:00 - 79:15]  Солнечный свет и энергия химических связей.
[79:15 - 79:19]  Вся жизнь, видимо, не вооружена на способы.
[79:19 - 79:23]  Солнечные поглощают свет и производят сложные органические соединения сами.
[79:23 - 79:27]  Животные и грибы питаются другими организмами и получают органику из них.
[79:27 - 79:32]  Подберезовики олень не очень похожи, но с точки зрения биохимии устроены примерно одинаковые.
[79:33 - 79:35]  Молекулярные кухни бактерий более разнообразны.
[79:35 - 79:38]  Они имеют извлекательную множество других способов.
[79:38 - 79:44]  А в процессах химосинтеза и фотосинтеза создают из простых веществ сложные органические соединения.
[79:45 - 79:49]  Получается, настоящая многообразие жизни определяется не внешним видом, а способом питания.
[79:50 - 79:54]  Раньше считалось, что без Солнца жизнь больших экосистем невозможна.
[79:54 - 79:58]  Но открытие черных куричек под ним море показалось, что это не так.
[79:58 - 80:06]  Они существуют только за счет бактерий, которые из простой неорганики дают весь необходимый запас органических веществ.
[80:07 - 80:09]  Бактерии могут влиять на всю планету.
[80:10 - 80:13]  Санобактерии первыми научились выделять кислород в процессе фотосинтеза.
[80:14 - 80:21]  Предполагается, что накопление кислорода в атмосфере спровоцировало гуронское оледенение, которое длилось 300 миллионов лет.
[80:21 - 80:25]  Теперь почти вся жизнь, от поймы до комара, дышит кислород.
[80:25 - 80:28]  А бактерии умеют использовать другие окислители.
[80:28 - 80:34]  Бобовые растения, например, горохов и чечевица, живут в симбиозе с клубеньковыми бактериями.
[80:35 - 80:41]  Эти бактерии фиксируют азот, обогащают им почву и помогают растениям включать его в состав своих белков.
[80:42 - 80:44]  У жвачных животных четыре отдела животка.
[80:44 - 80:47]  В одном из них обитают сотни миллионов разных бактерий.
[80:47 - 80:50]  Они вырабатывают ферменты для расщепления целлюлоза.
