[00:00 - 00:00]  Просите.
[43:43 - 43:44]  Походу, дело с глазами.
[43:45 - 43:54]  Это очень важный вопрос, что делать, если ты совершил ошибку.
[43:54 - 43:57]  Мы каждый человек совершаем в жизни ошибку.
[43:57 - 44:03]  Катерина не может простить себя, она не может жить с чувством вины.
[44:03 - 44:06]  Это трагедия человека, который не умеет прощать себя.
[44:06 - 44:08]  И это урок и для нас.
[44:09 - 44:12]  Важно уметь признавать свою жизнь дальше.
[44:12 - 44:30]  Из-за ошибок невозможно быть в человеке, просто не растет на ошибках, не развивается тот человек, который не совершает ошибки, который не стремится чего-то нового познать.
[44:30 - 44:33]  Невозможно всего-то все знать.
[44:34 - 44:43]  Поэтому не нужно себя винить, что происходит в жизни, но Катерина не видит выхода, и это ее трагедия.
[44:43 - 44:49]  Вопросы вам. Чем драма отличается от трагедии? Пожалуйста.
[44:49 - 44:51]  Трагедия не обязательно.
[44:52 - 44:54]  Не обязательно умирают.
[44:55 - 44:56]  Трагедия не обязательно.
[44:58 - 45:01]  Человек внутренний подвиг, да? Получается, трагедия.
[45:01 - 45:07]  Трагедия не обязательно.
[45:07 - 45:09]  Трагедия не обязательно.
[45:09 - 45:11]  Трагедия обязательно.
[45:11 - 45:12]  Так, вопрос.
[45:12 - 45:16]  Я не веду присединить смыслки и свободы.
[45:21 - 45:23]  Последний шарик.
[45:24 - 45:26]  Давай!
[45:27 - 45:29]  Миллион точков набирал.
[45:33 - 45:35]  Лучше посадить.
[45:52 - 45:59]  Второе, ну я сказала, написать анализ, да, 4 или 5, я не помню.
[46:01 - 46:03]  И третий, нужно прочитать через три раза.
[46:04 - 46:04]  Сможете?
[46:05 - 46:06]  Вам можно же представлять.
[46:07 - 46:08]  Вы огромные полосы.
[46:08 - 46:10]  Я желаю вам хороших вечеров.
