[00:02 - 00:03]  Русские, где-то, наверное.
[51:16 - 51:21]  Например, менеджмент это уже давно заимствованное слово, бренд там и так далее.
[51:23 - 51:25]  Да, бутерброд там, все это заимствованное.
[51:26 - 51:30]  Дистрибьюция слова, свойства естественного знака.
[51:31 - 51:36]  Мы записали, что свойства естественного знака это избыточность лексики.
[51:36 - 51:39]  Что это означает? В русском языке около сколько слов?
[51:40 - 51:40]  Очень много.
[51:41 - 51:43]  Ну, я вам скажу, вам цикл на эти...
[51:43 - 51:44]  Больше тысячи.
[51:44 - 51:45]  Отвечу.
[51:45 - 51:49]  130 тысяч слов существует примерно в русском языке.
[51:50 - 51:52]  Значит, полисемия.
[51:52 - 51:54]  Полисемия – это означает многозначность.
[51:54 - 51:57]  Одно слово может иметь несколько значений.
[51:57 - 51:59]  Также существует синонимия.
[51:59 - 52:02]  Синонимия – это много слов с одним значением, да?
[52:02 - 52:04]  О разном написании.
[52:04 - 52:05]  Вот.
[52:05 - 52:06]  Дальше.
[52:06 - 52:09]  Основные функции языка запишите.
[52:10 - 52:25]  Основные функции языка.
[52:25 - 52:30]  Первая это коммуникативная. Это какая коммуникативная?
[52:32 - 52:33]  Ну общение.
[52:33 - 52:37]  Общение, да, простым словом. Общение, коммуникативная.
[52:38 - 52:57]  Вторая, когнитивная. Когнитивная. Когнитивная это какая?
[52:58 - 52:58]  Мыслительная.
[52:59 - 53:02]  Молодец, почти. Мыслительная, ну правильно.
[53:02 - 53:02]  Изложение мысли.
[53:03 - 53:03]  А?
[53:04 - 53:05]  Изложение или?
[53:05 - 53:10]  Ну напишем более грамотно, но мыслительное.
[53:10 - 53:12]  напишем скобку познавательное, ладно?
[53:12 - 53:13]  Познавательное.
[53:13 - 53:14]  Когнитивное.
[53:14 - 53:15]  Познавательное.
[53:18 - 53:20]  Скобка, где пишется познавательное.
[53:21 - 53:21]  Почему?
[53:21 - 53:22]  Когнитивное?
[53:22 - 53:22]  Угу.
[53:25 - 53:25]  Записали?
[53:26 - 53:27]  Угу.
[53:27 - 53:27]  Третье.
[53:28 - 53:29]  Аккумулятивное.
[53:33 - 53:34]  Аккумулятор.
[53:34 - 53:35]  Знаете же, что такое аккумулятор?
[53:35 - 53:36]  Да, накопительное.
[53:37 - 53:38]  Накопительное.
[53:38 - 53:39]  Хранение.
[53:40 - 53:42]  Сохраняющее, да?
[53:42 - 53:43]  Хранение означает.
[53:44 - 53:45]  Аккумулятивное.
[53:45 - 53:52]  Записали?
[53:52 - 53:54]  Во сколько у нас занятие заканчивается?
[53:54 - 53:55]  5-10
[53:55 - 53:58]  5-10, круто
[53:58 - 54:01]  Так, дальше, следующее
[54:01 - 54:03]  Так
[54:03 - 54:05]  Эмоциональное
[54:05 - 54:07]  Запишите, эмоциональное
[54:07 - 54:15]  Эмоциональное
[54:15 - 54:24]  Записали эмоциональное?
[54:25 - 54:27]  Следующее, волюнтативное
[54:27 - 54:30]  Волюнтативное
[54:30 - 54:37]  Волюнтативность
[54:37 - 54:38]  Что это означает?
[54:39 - 54:40]  Изменяемость
[54:40 - 54:43]  Молодец, но не изменяемость.
[54:44 - 54:45]  Портрет не изменений.
[54:46 - 54:47]  Вариация.
[54:48 - 54:49]  У него больше подходит.
[54:49 - 54:51]  Функция воздействия.
[54:52 - 54:53]  Другими словами.
[54:53 - 54:54]  И следующее.
[54:57 - 54:58]  Эстетическое.
[54:59 - 55:02]  Шесть функций перечислили.
[55:03 - 55:09]  Коммуникативное, когнитивное, аккумулятивное, эмоциональное, волюнтативное, эстетическое.
[55:09 - 55:12]  Вкратце расскажу.
[55:12 - 55:15]  записывать не надо, ладно?
[55:15 - 55:17]  Я расскажу. А вы должны будете
[55:17 - 55:18]  мне написать текст.
[55:19 - 55:21]  Сейчас два предложения на каждую функцию
[55:21 - 55:23]  должны будете написать, поэтому
[55:23 - 55:24]  внимательно слушайте.
[55:27 - 55:28]  Так.
[55:29 - 55:31]  Язык существует не просто
[55:31 - 55:33]  так, он выполняет важные функции.
[55:34 - 55:34]  Вот мы с вами
[55:34 - 55:36]  записали шесть функций.
[55:36 - 55:38]  Каждый из них это то, для чего
[55:38 - 55:40]  язык нужен людям.
[55:40 - 55:41]  Первая функция
[55:41 - 55:43]  это функция не просто теории,
[55:43 - 55:46]  Без каждой из них язык перестал бы быть языком.
[55:47 - 55:49]  Первую записали мы коммуникативно.
[55:49 - 55:50]  Это самая главная функция.
[55:51 - 55:58]  Коммуникация – это общение, передача знаний, информация от одного человека к другому.
[55:59 - 56:02]  Вы здороваетесь с товарищем, это коммуникация?
[56:02 - 56:02]  Да.
[56:03 - 56:06]  Преподаватель рассказывает лекцию коммуникации?
[56:06 - 56:06]  Да.
[56:06 - 56:09]  Вы пишете другу сообщение коммуникация?
[56:10 - 56:11]  Да.
[56:11 - 56:15]  Вы читаете инструкцию к прибору. Это коммуникация?
[56:15 - 56:15]  Нет.
[56:16 - 56:19]  Это коммуникация, пусть и односторонняя.
[56:19 - 56:22]  Вы все равно включаетесь в процесс, читаете.
[56:24 - 56:28]  Ну, вы все равно читаете, но это просто односторонняя коммуникация.
[56:28 - 56:30]  Представьте, что язык исчез.
[56:31 - 56:32]  Как люди будут общаться?
[56:35 - 56:36]  Жестами.
[56:37 - 56:38]  Дальше.
[56:40 - 56:43]  Рисунками и мимикой будут показывать.
[56:43 - 56:45]  Это, как вы считаете, удобно?
[56:45 - 56:45]  Нет.
[56:46 - 56:51]  Нет, да-да, это ограниченные способы общения, да, согласитесь.
[56:52 - 56:58]  Нельзя жестами объяснить, как работает, например, квантовый компьютер или радиоприемник, да.
[56:59 - 57:05]  Тяжело будет объяснить, поэтому без языка человечество, что бы ни сделало, не могло бы развиваться.
[57:06 - 57:10]  Вывод, коммуникативная функция, основа из основ, согласитесь.
[57:10 - 57:13]  Язык создан для того, чтобы мы понимали друг друга
[57:13 - 57:17]  Следующее, когнитивное, познавательное
[57:17 - 57:21]  Это познание мышления другими словами
[57:21 - 57:22]  Мы мыслим с помощью языка
[57:22 - 57:25]  Мысли не существуют вне языка, согласитесь?
[57:26 - 57:29]  Пример, попробуйте сейчас подумать о чем-то сложном
[57:29 - 57:34]  Например, о том, как устроен радиоприемник
[57:34 - 57:35]  Ну вы можете подумать?
[57:35 - 57:40]  Да, но чистыми образами вы не можете подумать
[57:40 - 57:43]  Вы проговариваете мысль внутри себя.
[57:43 - 57:45]  Это и есть внутренняя речь.
[57:45 - 57:47]  Вопрос, а можно ли мыслить без языка?
[57:50 - 57:54]  Ну, абстракциями, картинками мыслить.
[57:54 - 57:55]  Можно, можно.
[57:55 - 58:01]  Например, даже дети, животные, маленькие дети и животные мыслят образами.
[58:02 - 58:04]  Но их мышление какое у них?
[58:04 - 58:07]  Примитивное, конкретное.
[58:07 - 58:13]  Ну такое. Человек же без языка не мог бы строить сложные логические цепочки.
[58:13 - 58:16]  Язык – вывод. Язык – это орудие мысли.
[58:16 - 58:20]  Чем богаче ваш язык, тем сложнее и глубже вы можете мыслить.
[58:20 - 58:22]  Следующая. Какая функция у нас?
[58:23 - 58:26]  Аккумулятивная. Аккумуляция – это накопление и хранение.
[58:26 - 58:31]  Язык позволяет сохранять и передавать знания от поколения в поколение.
[58:31 - 58:36]  Примеры. Например, в учебниках, в физике, в математике, в радиотехнике
[58:36 - 58:46]  записаны все знания, накопленные человечеством в книгах, летописях, в различных учебниках, диссертациях написано.
[58:46 - 58:48]  Также хранится культура и история.
[58:48 - 58:54]  Вы учитесь по учебникам, значит, пользуетесь какой-то аккумулятивной функцией языка.
[58:54 - 58:58]  Вопрос, что было бы, если бы у нас не было письменности?
[59:01 - 59:05]  Мы бы не смогли сохранять и передавать информацию.
[59:05 - 59:06]  А чем это плохо?
[59:07 - 59:08]  Историю не знали бы.
[59:09 - 59:11]  Что мы бы и делали бы?
[59:12 - 59:12]  Пересказывали?
[59:13 - 59:15]  Да, это изменяло бы.
[59:15 - 59:19]  Это бы было бы из устава, который искажался бы.
[59:19 - 59:21]  Причем, не, не искажался бы.
[59:21 - 59:22]  Не искажался бы.
[59:22 - 59:26]  А если бы умер человек, знающий, которому последний уберет,
[59:26 - 59:29]  то что бы пришлось бы потом новому поколению?
[59:31 - 59:34]  Все заново изобретать новый велосипед, да?
[59:34 - 59:39]  Мы бы изобретали, каждое поколение бы изобретало бы велосипед.
[59:40 - 59:42]  Заново прогресс остановился бы.
[59:42 - 59:42]  Вывод.
[59:43 - 59:45]  Язык это копилка знаний.
[59:47 - 59:47]  Алло.
[59:49 - 59:50]  Ладно.
[59:51 - 59:53]  Ладно, давай.
[59:53 - 59:53]  Ага.
[59:54 - 59:58]  Мы используемся тем, что накопили предки.
[59:58 - 60:01]  Четвертое у нас функция эмоциональная.
[60:01 - 60:04]  Эмоционально по-другому и эмотивно, и экспрессивно.
[60:04 - 60:13]  язык служит для выражения чувства и эмоции мы не просто сообщаем сообщая факты мы выражаем свои
[60:13 - 60:19]  эмоции да мы по разным можем выражать все эмоции одно и то же предложение сказанное по разному
[60:19 - 60:28]  может означать разные например как же мне надоело это делать это можно уже действительно сказать как
[60:28 - 60:51]  Как сказать, то, что действительно у тебя горестью, надоело уже все одно и тоже монотонная работа. Или можно сказать сарказмом, показать, что это тебе нравится, но показать свою ценность, что ты такой важный работник, что без тебя никак.
[60:51 - 60:56]  Так, вот, междонетие, а, о, все тоже это чистые эмоции.
[60:56 - 60:58]  Как вы выражаете эмоции в соцсетях?
[60:59 - 61:00]  Как вы выражаете?
[61:00 - 61:02]  При помощи смайликов, эмодзи, да?
[61:03 - 61:09]  При помощи восклицательных знаков, если вы, например, уже устали повторять одну и ту же мысль.
[61:09 - 61:14]  Если вы уже там злитесь, за главными буквами начинаете писать текст, да?
[61:15 - 61:20]  Вот, но помните, что в официальном общении она должна быть эмоциональной.
[61:20 - 61:22]  это эмоциональная ваша речь.
[61:23 - 61:25]  Язык не только передает информацию,
[61:25 - 61:27]  но и показывает, что мы чувствуем.
[61:27 - 61:28]  Пятое.
[61:29 - 61:31]  Валентативная функция воздействия.
[61:32 - 61:34]  Это воля изъявлений,
[61:34 - 61:36]  побуждений к действию.
[61:36 - 61:39]  Мы используем язык, чтобы заставить другого что-то делать.
[61:40 - 61:43]  Например, кто-то из ваших родителей сегодня говорил,
[61:43 - 61:47]  сын, ты опоздаешь, давай вставай, кушай, иди.
[61:47 - 61:52]  Там просьбы, пожалуйста, там угрозы, приказы, советы.
[61:52 - 61:55]  Это все входит в олимпиадную функцию.
[61:57 - 61:57]  Дальше.
[61:58 - 62:01]  Язык это получается инструмент власти и влияния.
[62:01 - 62:01]  Шестое.
[62:02 - 62:03]  Эстетическое.
[62:03 - 62:05]  Язык может быть красивым.
[62:05 - 62:06]  Благодаря чему?
[62:06 - 62:13]  Благодаря чему язык может быть красивым?
[62:14 - 62:18]  Благодаря правильному строению.
[62:19 - 62:21]  Ну давайте уж, а ну давайте.
[62:21 - 62:33]  Благодаря поэтам, писателям, деятелям, государственным деятелям, людям хорошего слога.
[62:33 - 62:40]  Стихи Пушкина, Есенина, Ахматовых, хорошо написанные книги, статьи, все это вызывает уважение.
[62:40 - 62:42]  Что для вас звучит особенно красиво?
[62:44 - 62:46]  Ночью лезет фонарь аптека.
[62:46 - 62:55]  Что звучит? Получается музыка красивая, да? Красивый фильм, да? Может быть.
[62:55 - 62:59]  И тому подобное. Язык это не только средство, но и искусство.
[63:00 - 63:09]  Вам задание сейчас я задаю. Нужно вам написать сейчас в тетради по 2-3 предложения на каждую функцию языка.
[63:09 - 63:13]  Я проверю, вы зачитаете мне. Я могу вам привести пример.
[63:13 - 63:17]  Хотите пример приведу на все шесть функций языка?
[63:17 - 63:18]  Хотите?
[63:18 - 63:20]  Давайте на два, чтобы вы хотя бы понимали, что делать.
[63:20 - 63:22]  У вас будет дело.
[63:22 - 63:27]  Так, смотрите, я успею на шесть, чтобы вы правильно, грамотно сделали задание.
[63:27 - 63:28]  Я поставила оценку.
[63:28 - 63:29]  Это не ваше задание?
[63:30 - 63:31]  Нет, сейчас сделайте.
[63:32 - 63:35]  Вы сейчас начнете, на литературе продолжим, ладно?
[63:36 - 63:38]  Например, дорогие друзья.
[63:39 - 63:40]  Это какая будет функция?
[63:40 - 63:41]  Коммуникативная.
[63:41 - 63:42]  Коммуникативная.
[63:42 - 63:55]  Дорогие друзья, я хочу рассказать вам о том, что скоро каникулы.
[63:57 - 63:59]  Какая? Что скоро каникулы? Это какая?
[64:01 - 64:03]  Когнитивная. Вы сразу задумались.
[64:03 - 64:06]  Я так рад. Это какая функция?
[64:09 - 64:11]  Эмоциональная. Молодец. Я так рад.
[64:11 - 64:13]  Давайте встретимся.
[64:14 - 64:15]  Какая функция?
[64:15 - 64:16]  Волюнтативная.
[64:16 - 64:17]  Спасибо.
[64:19 - 64:20]  Волюнтативная.
[64:20 - 64:21]  Волюнтативная, молодец.
[64:21 - 64:24]  Я волю изъявляю, что давайте встретимся.
[64:25 - 64:27]  И устроим праздник.
[64:27 - 64:29]  Это будет у нас волюнтативная.
[64:29 - 64:32]  Вспомним наши лучшие моменты.
[64:32 - 64:33]  Это какая?
[64:36 - 64:38]  Хранение, обработка информации.
[64:39 - 64:40]  Окулятивная.
[64:40 - 64:43]  Пусть этот день будет прекрасным
[64:43 - 64:45]  Какая функция?
[64:46 - 64:46]  Эстетическая
[64:46 - 64:48]  Все делаем у вас
[64:48 - 64:50]  На все про все 15 минут
[64:50 - 64:51]  Время пошло
[64:51 - 64:54]  Я медитативку положу и приду
[64:54 - 64:54]  Ладно?
[64:55 - 64:56]  А то она сейчас
[64:56 - 65:04]  Я здоровья
[65:04 - 65:05]  Устанавливаю
[65:05 - 65:06]  20 минут
[65:06 - 65:10]  Почему
[65:10 - 65:40]  Я и Богдан писал книги.
[65:40 - 66:13]  Субтитры сделал DimaTorzok
[66:13 - 66:16]  Если нет закрытого, то все.
[66:17 - 66:20]  Она, оказывается, вот здесь находится, справа.
[66:23 - 66:25]  Когнитивная, она познавательная.
[66:26 - 66:27]  Как-нибудь, я не знаю.
[66:28 - 66:31]  Например, что скоро каникулы.
[66:31 - 66:34]  Чтобы заставило вас задуматься.
[66:34 - 66:35]  Доскобелая.
[66:38 - 66:38]  Да.
[66:39 - 66:42]  И вы сидите думаете, что действительно доскобелая или нет.
[66:42 - 66:46]  Да, чтобы вы...
[66:46 - 66:47]  Пишем, пишем.
[66:50 - 66:51]  На 6 минут
[66:51 - 66:53]  пишем по два предложения.
[67:31 - 67:32]  Получается?
[67:34 - 67:35]  На пол.
[68:25 - 68:26]  Спасибо.
[69:57 - 70:20]  Ну кто готов?
[70:24 - 70:26]  Аккумулятор?
[70:27 - 70:28]  Ну что-то накопительное.
[70:28 - 70:30]  Накопление, накопление.
[70:30 - 70:31]  Ну а тебя попробуй.
[70:35 - 70:35]  Аккумулятор?
[70:35 - 70:38]  Давайте вспомним лучшие времена.
[70:40 - 70:42]  Можно попробовать? Давай.
[70:42 - 70:45]  Ну, первое, так, допустим, синее море.
[70:45 - 70:47]  Это что у нас?
[70:47 - 70:53]  Это у нас как раз коммуникационная...
[70:53 - 70:56]  Нет, нужно предложение, что синее море и что.
[70:56 - 70:59]  Надо предложение и что.
[70:59 - 71:01]  Побуникацию нужно сделать,
[71:01 - 71:03]  пубникативную функцию, например,
[71:03 - 71:15]  дорогие друзья должен быть один текст который взаимосвязан должен составил что
[71:15 - 71:22]  рожи составил ну давай прочитай
[71:24 - 71:27]  если не слышу
[71:27 - 71:58]  Продолжение следует...
[71:58 - 72:04]  Ну, чтобы показывать функции языка.
[72:05 - 72:08]  Например, пусть этот день будет прекрасным.
[72:08 - 72:13]  Там что-то такие красивые слова должны быть, вдохновляющие что-нибудь.
[72:14 - 72:15]  Эстетическую функцию.
[72:17 - 72:21]  Какие-то строчки хорошие, литературным языком написанные, из произведений.
[72:21 - 72:23]  А имя из произведений можно писать?
[72:23 - 72:26]  Можно, да, есть именно так.
[72:26 - 72:30]  Но это должно быть взаимосвязано с текстом.
[72:32 - 72:36]  Что, готов? Улыбаешься. Давай.
[72:36 - 72:38]  Еще одно, что ли? Ты одно только написал?
[72:39 - 72:43]  А, да? Сложно, да? Так быстро не напишешь.
[72:51 - 72:55]  Я думала, такое легкое задание я им дала, думаю, для детского сада.
[72:55 - 72:56]  Вроде легкое.
[72:56 - 72:59]  Вроде легкое, если начинаешь придумывать, да?
[72:59 - 73:03]  Ну это как этот, фуминация, как она уходит, так уносится, а нет?
[73:03 - 73:04]  Не знаю.
[73:04 - 73:05]  Спасибо.
[73:05 - 73:06]  Ты должен.
[73:06 - 73:07]  Я не должен.
[73:07 - 73:08]  Я не должен.
[73:08 - 73:13]  Вы должны участвовать в соревнованиях, например.
[73:13 - 73:14]  Вы должны.
[73:14 - 73:15]  Так.
[73:15 - 73:18]  Я хочу там было говорить.
[73:18 - 73:19]  Так.
[73:19 - 73:20]  О.
[73:20 - 73:28]  Надо, чтобы все функции языка были в одном тексте.
[73:28 - 73:30]  Первое нужно коммуникативную, по здоровью.
[73:30 - 73:34]  поздороваться там что-то рассказать
[73:38 - 73:42]  сначала стиха про еще один
[73:42 - 73:47]  как будто я помню нет уж и не смогу тоже не
[73:47 - 73:52]  помнить не особо есть и предметов не дует
[73:52 - 73:57]  Это ты можешь помнить у себя мозги свежие.
[73:57 - 74:01]  Я же еще и татарский литературный, я и пиратурный.
[74:01 - 74:06]  У нас такого не было. У нас литература была вот только в последние годы нормальная.
[74:06 - 74:14]  И пятый класс. А все остальное было приезжие, которое на русском языке разговаривало.
[74:14 - 74:16]  Не то, что в десяти.
[74:16 - 74:17]  С акцентом, да?
[74:17 - 74:19]  Там не акцент, там...
[74:19 - 74:23]  Акцент можно взять, можно сказать, прямая речь.
[74:23 - 74:26]  Там газ с легкими приставками.
[74:26 - 74:30]  Если бы мне повезло, у меня бы была так же куча диноклассиков таких же, я бы примерно так же читал.
[74:30 - 74:40]  Чего бы тут пить?
[74:40 - 74:42]  У тебя есть сейчас специальный санкорд?
[74:42 - 74:45]  Ааа... Сегодня?
[74:45 - 74:48]  Да, да, есть сейчас каждый.
[74:48 - 74:51]  Ну, могу я списать, как это пишешь?
[74:51 - 74:52]  Да.
[74:52 - 74:56]  Загрузится... Так.
[74:56 - 74:58]  Сейчас грузит, грузит.
[75:42 - 75:46]  Спасибо.
[76:22 - 76:24]  Аккумулятивное что-нибудь?
[76:24 - 76:28]  Нет, это предпоследнее воздействие.
[76:46 - 76:48]  Пятая это какая функция?
[76:48 - 76:50]  Функция воздействия.
[76:50 - 76:53]  Это функция воздействия, тихо.
[76:53 - 76:55]  Это волеизъявление.
[76:55 - 76:59]  Ты что-то своим предложением хочешь сделать, например,
[76:59 - 77:02]  достучаться до человека, приказ,
[77:02 - 77:04]  просьба, там может быть,
[77:04 - 77:04]  например,
[77:05 - 77:07]  давайте встретимся, например,
[77:07 - 77:09]  давайте пойдем, например,
[77:09 - 77:11]  или вы должны
[77:11 - 77:14]  сядь на место,
[77:14 - 77:16]  да, ты свою волю хочешь
[77:16 - 77:18]  перевести на того
[77:18 - 77:18]  человека.
[77:28 - 77:30]  Строки.
[77:30 - 77:32]  Это красивые строки, да,
[77:32 - 77:34]  из произведений,
[77:34 - 77:36]  произведения писателей, поэтов,
[77:36 - 77:39]  таких как «Красивая речь»,
[77:39 - 77:40]  «Эстетическое».
[77:40 - 77:42]  Откуда мы подпитываем произведения
[77:42 - 77:45]  поэтов, писателей?
[77:47 - 77:51]  Короче, хочу сказать коротко и ясно.
[77:51 - 77:53]  Это будет домашнее задание.
[77:53 - 77:57]  Я как понимаю, что вам это долго нужно написать, подумать.
[77:57 - 78:00]  На следующий урок на русском языке
[78:00 - 78:02]  я проверю ваши предложения каждого
[78:02 - 78:06]  и поставлю оценку, потому что мне нужно ставить оценки,
[78:07 - 78:13]  исходя из этих оценок, все вместе там, конечно, в совокупности должно включать себя
[78:13 - 78:20]  и с посещаемостью, и выполнение домашних заданий, и публичные выступления,
[78:20 - 78:25]  и тому подобное, это зависит от оценки потом итоговая, которая пойдет в диплом.
[78:33 - 78:41]  это коммуникативно
[78:41 - 78:50]  можно сейчас попробовать еще раз рассказать еще раз рассказать
[78:50 - 78:55]  точно писал и так уже этот на следующем уроке
[78:55 - 79:12]  Сейчас будет перерыв 10 минут. Вы передохнете. И смотрите, по русскому языку не только нужно будет домашнее задание написать, но и нужно будет дописать лекцию. Ладно? Я не скажу, ладно?
[79:12 - 79:16]  Сейчас я вам договорюсь.
[79:18 - 79:20]  Организация, что предложение будет?
[79:22 - 79:22]  Желательно.
[79:28 - 79:58]  Субтитры сделал DimaTorzok
